1,Adalia,520,47001,Valladolid,PP
2,Aguasal,170,47002,Valladolid,PP
3,Aguilar de Campos,2570,47003,Valladolid,PP
4,Alaejos,138,47004,Valladolid,PSOE
5,Alcazarén,6320,47005,Valladolid,URCL
6,Aldea de San Miguel,2170,47006,Valladolid,PSOE
7,Aldeamayor de San Martín,5789,47007,Valladolid,PSOE
8,Almenara de Adaja,230,47008,Valladolid,PP
9,Amusquillo,1000,47009,Valladolid,Cs
10,Arroyo de la Encomienda,20716,47010,Valladolid,IPAE
11,Ataquines,5640,47011,Valladolid,T.P.A.
12,Bahabón,980,47012,Valladolid,PP
13,Barcial de la Loma,860,47013,Valladolid,PSOE
14,Barruelo del Valle,470,47014,Valladolid,Vox
15,Becilla de Valderaduey,2180,47015,Valladolid,PSOE
16,Benafarces,680,47016,Valladolid,PP
17,Bercero,1950,47017,Valladolid,PP
18,Berceruelo,380,47018,Valladolid,PP
19,Berrueces,1020,47019,Valladolid,PP
20,Bobadilla del Campo,2920,47020,Valladolid,PSOE
21,Bocigas,800,47021,Valladolid,PP
22,Bocos de Duero,690,47022,Valladolid,PP
23,Boecillo,4219,47023,Valladolid,PP
24,Bolaños de Campos,2770,47024,Valladolid,PSOE
25,Brahojos de Medina,1060,47025,Valladolid,PP
26,Bustillo de Chaves,630,47026,Valladolid,Cs
27,Cabezón de Pisuerga,3747,47027,Valladolid,PSOE
28,Cabezón de Valderaduey,410,47028,Valladolid,PP
29,Cabreros del Monte,630,47029,Valladolid,PP
30,Campaspero,1047,47030,Valladolid,PP
31,El Campillo,2190,47031,Valladolid,PP
32,Camporredondo,1530,47032,Valladolid,PP
33,Canalejas de Peñafiel,2410,47033,Valladolid,PP
34,Canillas de Esgueva,780,47034,Valladolid,PP
35,Carpio,9650,47035,Valladolid,PP
36,Casasola de Arión,2350,47036,Valladolid,PP
37,Castrejón de Trabancos,1700,47037,Valladolid,PP
38,Castrillo de Duero,1030,47038,Valladolid,PP
39,Castrillo-Tejeriego,1620,47039,Valladolid,PP
40,Castrobol,540,47040,Valladolid,PP
41,Castrodeza,1510,47041,Valladolid,PP
42,Castromembibre,530,47042,Valladolid,PIC
43,Castromonte,3140,47043,Valladolid,PP
44,Castronuevo de Esgueva,3790,47044,Valladolid,PP
45,Castronuño,8250,47045,Valladolid,IU
46,Castroponce,1480,47046,Valladolid,PP
47,Castroverde de Cerrato,1960,47047,Valladolid,PP
48,Ceinos de Campos,2090,47048,Valladolid,PP
49,Cervillego de la Cruz,830,47049,Valladolid,PSOE
50,Cigales,5299,47050,Valladolid,PSOE
51,Ciguñuela,3750,47051,Valladolid,PP
52,Cistérniga,9109,47052,Valladolid,PSOE
53,Cogeces de Íscar,1420,47053,Valladolid,PP
54,Cogeces del Monte,6370,47054,Valladolid,PP
55,Corcos,2030,47055,Valladolid,PP
56,Corrales de Duero,1090,47056,Valladolid,PP
57,Cubillas de Santa Marta,3520,47057,Valladolid,PP
58,Cuenca de Campos,2080,47058,Valladolid,PP
59,Curiel de Duero,1180,47059,Valladolid,PP
60,Encinas de Esgueva,2210,47060,Valladolid,PP
61,Esguevillas de Esgueva,2690,47061,Valladolid,Cs
62,Fombellida,1660,47062,Valladolid,PP
63,Fompedraza,1030,47063,Valladolid,PP
64,Fontihoyuelo,360,47064,Valladolid,PP
65,Fresno el Viejo,8480,47065,Valladolid,PP
66,Fuensaldaña,1996,47066,Valladolid,PSOE
67,Fuente el Sol,1480,47067,Valladolid,PP
68,Fuente-Olmedo,340,47068,Valladolid,PSOE
69,Gallegos de Hornija,1110,47069,Valladolid,PSOE
70,Gatón de Campos,270,47070,Valladolid,PP
71,Geria,5120,47071,Valladolid,PSOE
72,Herrín de Campos,1190,47073,Valladolid,PP
73,Hornillos de Eresma,1740,47074,Valladolid,PSOE
74,Íscar,6298,47075,Valladolid,PP
75,Laguna de Duero,22633,47076,Valladolid,Independiente
76,Langayo,2420,47077,Valladolid,PP
77,Llano de Olmedo,590,47079,Valladolid,PP
78,Lomoviejo,1780,47078,Valladolid,PP
79,Manzanillo,490,47080,Valladolid,Cs
80,Marzales,430,47081,Valladolid,PSOE
81,Matapozuelos,1039,47082,Valladolid,PP
82,Matilla de los Caños,940,47083,Valladolid,PSOE
83,Mayorga,1471,47084,Valladolid,PP
84,Medina de Rioseco,455,47086,Valladolid,PP
85,Medina del Campo,20271,47085,Valladolid,PP
86,Megeces,4330,47087,Valladolid,PP
87,Melgar de Abajo,1200,47088,Valladolid,JPM
88,Melgar de Arriba,1530,47089,Valladolid,PP
89,Mojados,3311,47090,Valladolid,PSOE
90,Monasterio de Vega,790,47091,Valladolid,PP
91,Montealegre de Campos,1030,47092,Valladolid,PP
92,Montemayor de Pililla,8520,47093,Valladolid,PP
93,Moral de la Reina,1500,47094,Valladolid,PP
94,Moraleja de las Panaderas,470,47095,Valladolid,PP
95,Morales de Campos,1410,47096,Valladolid,PP
96,Mota del Marqués,3490,47097,Valladolid,PSOE
97,Mucientes,6420,47098,Valladolid,PSOE
98,La Mudarra,1560,47099,Valladolid,PP
99,Muriel,1170,47100,Valladolid,PSOE
100,Nava del Rey,1968,47101,Valladolid,PP
101,Nueva Villa de las Torres,2760,47102,Valladolid,PP
102,Olivares de Duero,3130,47103,Valladolid,PP
103,Olmedo,3574,47104,Valladolid,PP
104,Olmos de Esgueva,1850,47105,Valladolid,PSOE
105,Olmos de Peñafiel,530,47106,Valladolid,PP
106,Palazuelo de Vedija,1740,47109,Valladolid,PP
107,La Parrilla,4820,47110,Valladolid,PSOE
108,La Pedraja de Portillo,1122,47111,Valladolid,PP
109,Pedrajas de San Esteban,3334,47112,Valladolid,PP
110,Pedrosa del Rey,1550,47113,Valladolid,PP
111,Peñafiel,5068,47114,Valladolid,PP
112,Peñaflor de Hornija,3300,47115,Valladolid,PP
113,Pesquera de Duero,4340,47116,Valladolid,PP
114,Piña de Esgueva,3180,47117,Valladolid,PP
115,Piñel de Abajo,1720,47118,Valladolid,PP
116,Piñel de Arriba,920,47119,Valladolid,PP
117,Pollos,6110,47121,Valladolid,PSOE
118,Portillo,2383,47122,Valladolid,PSOE
119,Pozal de Gallinas,5370,47123,Valladolid,PP
120,Pozaldez,4730,47124,Valladolid,PP
121,Pozuelo de la Orden,450,47125,Valladolid,PP
122,Puras,420,47126,Valladolid,PP
123,Quintanilla de Arriba,1600,47127,Valladolid,AQUI
124,Quintanilla de Onésimo,1031,47129,Valladolid,PSOE
125,Quintanilla de Trigueros,1050,47130,Valladolid,PP
126,Quintanilla del Molar,570,47128,Valladolid,PP
127,Rábano,1690,47131,Valladolid,PSOE
128,Ramiro,490,47132,Valladolid,PP
129,Renedo de Esgueva,3875,47133,Valladolid,PP
130,Roales de Campos,1600,47134,Valladolid,PP
131,Robladillo,890,47135,Valladolid,PSOE
132,Roturas,290,47137,Valladolid,PP
133,Rubí de Bracamonte,2150,47138,Valladolid,PP
134,Rueda,1204,47139,Valladolid,PSOE
135,Saelices de Mayorga,1130,47140,Valladolid,PP
136,Salvador de Zapardiel,1100,47141,Valladolid,PP
137,San Cebrián de Mazote,1220,47142,Valladolid,PP
138,San Llorente,1100,47143,Valladolid,PP
139,San Martín de Valvení,800,47144,Valladolid,PP
140,San Miguel del Arroyo,6580,47145,Valladolid,PP
141,San Miguel del Pino,3500,47146,Valladolid,PSOE
142,San Pablo de la Moraleja,1080,47147,Valladolid,PP
143,San Pedro de Latarce,4610,47148,Valladolid,PP
144,San Pelayo,480,47149,Valladolid,Toma la Palabra
145,San Román de Hornija,3030,47150,Valladolid,PP
146,San Salvador,240,47151,Valladolid,PP
147,San Vicente del Palacio,1600,47156,Valladolid,Cs
148,Santa Eufemia del Arroyo,710,47152,Valladolid,PSOE
149,Santervás de Campos,1100,47153,Valladolid,PP
150,Santibáñez de Valcorba,1810,47154,Valladolid,PP
151,Santovenia de Pisuerga,4604,47155,Valladolid,Cs
152,Sardón de Duero,6020,47157,Valladolid,PSOE
153,La Seca,1066,47158,Valladolid,PSOE
154,Serrada,1111,47159,Valladolid,PP
155,Siete Iglesias de Trabancos,4270,47160,Valladolid,PP
156,Simancas,5315,47161,Valladolid,PP
157,Tamariz de Campos,680,47162,Valladolid,PP
158,Tiedra,2850,47163,Valladolid,IU Toma la Palabra
159,Tordehumos,4060,47164,Valladolid,PP
160,Tordesillas,8762,47165,Valladolid,PP
161,Torre de Esgueva,660,47169,Valladolid,PP
162,Torre de Peñafiel,450,47170,Valladolid,PP
163,Torrecilla de la Abadesa,2700,47166,Valladolid,PP
164,Torrecilla de la Orden,2400,47167,Valladolid,PP
165,Torrecilla de la Torre,360,47168,Valladolid,PP
166,Torrelobatón,3900,47171,Valladolid,PP
167,Torrescárcela,1680,47172,Valladolid,PP
168,Traspinedo,1149,47173,Valladolid,VPT
169,Trigueros del Valle,3090,47174,Valladolid,PSOE
170,Tudela de Duero,8648,47175,Valladolid,PSOE
171,La Unión de Campos,2160,47176,Valladolid,PP
172,Urones de Castroponce,1080,47177,Valladolid,PP
173,Urueña,1910,47178,Valladolid,PP
174,Valbuena de Duero,4360,47179,Valladolid,Cs
175,Valdearcos de la Vega,520,47180,Valladolid,CI-CCD
176,Valdenebro de los Valles,1930,47181,Valladolid,PSOE
177,Valdestillas,1607,47182,Valladolid,No Adscrito
178,Valdunquillo,1380,47183,Valladolid,Toma la Palabra
179,Valladolid,297775,47186,Valladolid,PSOE
180,Valoria la Buena,6780,47184,Valladolid,PP
181,Valverde de Campos,880,47185,Valladolid,Cs
182,Vega de Ruiponce,850,47187,Valladolid,PP
183,Vega de Valdetronco,960,47188,Valladolid,PP
184,Velascálvaro,1680,47189,Valladolid,PP
185,Velilla,1150,47190,Valladolid,PP
186,Velliza,1180,47191,Valladolid,PSOE
187,Ventosa de la Cuesta,980,47192,Valladolid,PP
188,Viana de Cega,216,47193,Valladolid,PP
189,Villabáñez,4920,47195,Valladolid,PSOE
190,Villabaruz de Campos,260,47196,Valladolid,PP
191,Villabrágima,1044,47197,Valladolid,PP
192,Villacarralón,720,47198,Valladolid,PP
193,Villacid de Campos,810,47199,Valladolid,PP
194,Villaco,750,47200,Valladolid,PP
195,Villafrades de Campos,610,47203,Valladolid,PP
196,Villafranca de Duero,2680,47204,Valladolid,PP
197,Villafrechós,4620,47205,Valladolid,PP
198,Villafuerte,860,47206,Valladolid,PP
199,Villagarcía de Campos,2820,47207,Valladolid,PP
200,Villagómez la Nueva,630,47208,Valladolid,PP
201,Villalán de Campos,350,47209,Valladolid,PP
202,Villalar de los Comuneros,4730,47210,Valladolid,IPV
203,Villalba de la Loma,460,47211,Valladolid,PP
204,Villalba de los Alcores,3700,47212,Valladolid,PP
205,Villalbarba,1090,47213,Valladolid,PP
206,Villalón de Campos,1526,47214,Valladolid,PP
207,Villamuriel de Campos,490,47215,Valladolid,PP
208,Villán de Tordesillas,1230,47216,Valladolid,PP
209,Villanubla,2828,47217,Valladolid,PSOE
210,Villanueva de Duero,1227,47218,Valladolid,IU-Toma La Palabra
211,Villanueva de la Condesa,580,47219,Valladolid,PSOE
212,Villanueva de los Caballeros,1780,47220,Valladolid,PP
213,Villanueva de los Infantes,1050,47221,Valladolid,PSOE
214,Villanueva de San Mancio,890,47222,Valladolid,PP
215,Villardefrades,1530,47223,Valladolid,PSOE
216,Villarmentero de Esgueva,1020,47224,Valladolid,PP
217,Villasexmir,730,47225,Valladolid,PP
218,Villavaquerín,1620,47226,Valladolid,PSOE
219,Villavellid,510,47227,Valladolid,PP
220,Villaverde de Medina,5180,47228,Valladolid,PSOE
221,Villavicencio de los Caballeros,2330,47229,Valladolid,PSOE
222,Viloria,3480,47194,Valladolid,PP
223,Wamba,3070,47230,Valladolid,PP
224,Zaratán,6249,47231,Valladolid,PP
225,La Zarza,1180,47232,Valladolid,PP
